Id,Label,style,instrument
0,benedictquinn,lofi,guitar
1,jasmineoakleymusic,rnb,guitar
2,itsolihannaford,jazz,bass
3,tenitinks1,None,None
4,thatdappermusician,jazz,chords
5,rubenwan,neosoul,guitar
6,profflutebae,None,flute
7,dompalombimusic,funk,drums
8,huberjonathan,jazz,synth
9,vadesings,rnb,None
10,alesssos,jazz,tuba
11,ralphb0ne,jazz,chords
12,raquel.themartins,jazz,guitar
13,theonlytylerl,jazz,drums
14,projectatlanticmusic,rock,guitar
15,andrew.hadro,jazz,saxophone
16,gmurray888,gospel,None
17,jemheigis,dubstep,synth
18,theryanslatko,jazz,piano
19,nicomendozamusic,jazz,bass
