user_name,nickname,signature,verified,follower_count,following_count,likes_count,video_count,last_active,mentions,duos,collabs,music_collabs,hashtags,instruments,styles
benedictquinn,Ben Quinn,"oh hey!
guitarist and producer 
go follow my insta @benedictquinn",False,804,137,4965,69,2021-11-03,"j 
a 
s 
m 
i 
n 
e 
o 
a 
k 
l 
e 
y 
m 
u 
s 
i 
c 
  

 
i 
t 
s 
o 
l 
i 
h 
a 
n 
n 
a 
f 
o 
r 
d 
  

 
a 
u 
g 
i 
e 
_ 
b 
e 
l 
l 
o",,"jasmineoakleymusic 
itsolihannaford 
augie_bello","jasmineoakleymusic : https://tiktok.com/@benedictquinn/video/6986018195622694149
","asktiktok ,music ,instrumental ,chill ,lofi ,duetwithme ,lofihiphop ,guitar ,beat ,chillmusic ,naturevibes ,lofichill ,musicforyou ,fypシ ,fyp","guitar ,bass ,drums ,synth ,chords ,saxophone","jazz ,rnb ,hiphop ,indie ,groove ,neosoul ,indiemusic ,lofi"
jasmineoakleymusic,Jasmine Oakley,Singer/Artist  ✨,False,5533,58,65300,54,2022-01-02,"p 
a 
s 
t 
e 
l 
m 
u 
s 
i 
q 
u 
e 
  

 
b 
e 
n 
e 
d 
i 
c 
t 
q 
u 
i 
n 
n 
  

 
t 
h 
a 
t 
d 
a 
p 
p 
e 
r 
m 
u 
s 
i 
c 
i 
a 
n 
  

 
m 
a 
r 
c 
r 
e 
b 
i 
l 
l 
e 
t 
  

 
e 
l 
e 
n 
a 
. 
h 
o 
n 
e 
y","rubenwan 
edbledbl 
kaineofoeme","pastelmusique 
benedictquinn 
thatdappermusician 
rubenwan 
marcrebillet 
elena.honey 
edbledbl 
kaineofoeme","benedictquinn : https://tiktok.com/@jasmineoakleymusic/video/6975678994733731078
","beats ,rnb ,singer ,vocalist ,riffs ,fy ,fyp ,guitarist ,bass ,drums ,freeme ,bossa ,clones ,soul ,music","guitar ,bass ,piano ,drums","jazz ,rap ,rnb ,neosoul ,lofi ,gospel"
