user_name,nickname,signature,verified,follower_count,following_count,likes_count,video_count,last_active,mentions,duos,collabs,music_collabs,hashtags,instruments,styles
benedictquinn,Ben Quinn,"oh hey!
guitarist and producer 
go follow my insta @benedictquinn",False,804,137,4965,69,2021-11-03,"jasmineoakleymusic
itsolihannaford
augie_bello",,"jasmineoakleymusic
itsolihannaford
augie_bello","jasmineoakleymusic : https://tiktok.com/@benedictquinn/video/6986018195622694149
itsolihannaford : https://tiktok.com/@benedictquinn/video/6947652360986561798
","asktiktok, music, instrumental, chill, lofi, duetwithme, lofihiphop, guitar, beat, chillmusic, naturevibes, lofichill, musicforyou, fypシ, fyp","guitar, bass, drums, synth, chords, saxophone","jazz ,rnb ,hiphop ,indie ,groove ,neosoul ,indiemusic ,lofi"
jasmineoakleymusic,Jasmine Oakley,Singer/Artist  ✨,False,5533,58,65300,54,2022-01-02,"pastelmusique
benedictquinn
thatdappermusician
marcrebillet
elena.honey","rubenwan
edbledbl
kaineofoeme","pastelmusique
benedictquinn
thatdappermusician
rubenwan
marcrebillet
elena.honey
edbledbl
kaineofoeme","benedictquinn : https://tiktok.com/@jasmineoakleymusic/video/6975678994733731078
","beats, rnb, singer, vocalist, riffs, fy, fyp, guitarist, bass, drums, freeme, bossa, clones, soul, music","guitar, bass, piano, drums","jazz ,rap ,rnb ,neosoul ,lofi ,gospel"
itsolihannaford,OLI HANNAFORD,Posting beats here and there,False,65,26,221,3,2021-04-21,"benedictquinn
nothing_neue",,"benedictquinn
nothing_neue","benedictquinn : https://tiktok.com/@itsolihannaford/video/6947576160473713925
","jazz, beats, lofibeats, neosoul, jam, jazzguitar, lofi, bass, drums, boombap","bass, drums","jazz ,neosoul ,lofi"
