user_name,nickname,signature,verified,follower_count,following_count,likes_count,video_count,last_active,mentions,duos,collabs,music_collabs,music_collabs_url,hashtags,instruments,styles
benedictquinn,Ben Quinn,"oh hey!
guitarist and producer 
go follow my insta @benedictquinn",False,804,137,4965,69,2021-11-03,"['jasmineoakleymusic', 'itsolihannaford', 'augie_bello']",[],"['jasmineoakleymusic', 'itsolihannaford', 'augie_bello']","['jasmineoakleymusic', 'itsolihannaford']","{'jasmineoakleymusic': 'https://tiktok.com/@benedictquinn/video/6986018195622694149', 'itsolihannaford': 'https://tiktok.com/@benedictquinn/video/6947652360986561798'}","['asktiktok', 'music', 'instrumental', 'chill', 'lofi', 'duetwithme', 'lofihiphop', 'guitar', 'beat', 'chillmusic', 'naturevibes', 'lofichill', 'musicforyou', 'fypシ', 'fyp']","['guitar', 'bass', 'drums', 'synth', 'chords', 'saxophone']","['jazz', 'rnb', 'hiphop', 'indie', 'groove', 'neosoul', 'indiemusic', 'lofi']"
jasmineoakleymusic,Jasmine Oakley,Singer/Artist  ✨,False,5533,58,65300,54,2022-01-02,"['pastelmusique', 'benedictquinn', 'thatdappermusician', 'marcrebillet', 'elena.honey']","['rubenwan', 'edbledbl', 'kaineofoeme']","['pastelmusique', 'benedictquinn', 'thatdappermusician', 'rubenwan', 'marcrebillet', 'elena.honey', 'edbledbl', 'kaineofoeme']","['pastelmusique', 'benedictquinn', 'thatdappermusician', 'rubenwan', 'elena.honey']","{'pastelmusique': 'https://tiktok.com/@jasmineoakleymusic/video/7048627943026724102', 'benedictquinn': 'https://tiktok.com/@jasmineoakleymusic/video/6975678994733731078', 'thatdappermusician': 'https://tiktok.com/@jasmineoakleymusic/video/6960587530571992326', 'rubenwan': 'https://tiktok.com/@jasmineoakleymusic/video/6946008339134418181', 'elena.honey': 'https://tiktok.com/@jasmineoakleymusic/video/6928044428523244806'}","['beats', 'rnb', 'singer', 'vocalist', 'riffs', 'fy', 'fyp', 'guitarist', 'bass', 'drums', 'freeme', 'bossa', 'clones', 'soul', 'music']","['guitar', 'bass', 'piano', 'drums']","['jazz', 'rap', 'rnb', 'neosoul', 'lofi', 'gospel']"
itsolihannaford,OLI HANNAFORD,Posting beats here and there,False,65,26,221,3,2021-04-21,"['benedictquinn', 'nothing_neue']",[],"['benedictquinn', 'nothing_neue']",['benedictquinn'],{'benedictquinn': 'https://tiktok.com/@itsolihannaford/video/6947576160473713925'},"['jazz', 'beats', 'lofibeats', 'neosoul', 'jam', 'jazzguitar', 'lofi', 'bass', 'drums', 'boombap']","['bass', 'drums']","['jazz', 'neosoul', 'lofi']"
pastelmusique,Ｐａｓｔｅｌ,"FOLLOW ME ON IG ✨
Ｐａｓｔｅｌ",False,1072,88,4780,77,2022-01-08,"['bomelmusic', 'katpenkin', 'jasmineoakleymusic', 'orlarae__', 'blowsom_tiktok', 'emmahoet', 'jacksonmathod', 'niminowayjose']",[],"['bomelmusic', 'katpenkin', 'jasmineoakleymusic', 'orlarae__', 'blowsom_tiktok', 'emmahoet', 'jacksonmathod', 'niminowayjose']",['jasmineoakleymusic'],{'jasmineoakleymusic': 'https://tiktok.com/@pastelmusique/video/7041232478270409989'},"['musicproducers', 'housemusic', 'tiktokmusique', 'jazztok', 'fyp', 'foryou', 'frenchtouch', 'fypagetiktok', 'djtok', 'musicproducer', 'idsong', 'howtosing', 'musicproduction', 'toplinemusic', '2022fashion']",[],['indiemusic']
thatdappermusician,Myron Evans,Keys mainly🎹among other things,False,680,449,5995,57,2021-12-10,"['tiktok', 'andpacker', 'maha_yrysbekova', 'alesssos', 'meganhealytv', 'projectatlanticmusic', 'jimm3rz']","['rjthecomposer', 'jeremyolenski', 'profflutebae', 'amandlafr', 'dompalombimusic', 'huberjonathan', 'vadesings', 'caseybassy', 'ralphb0ne', 'laurathelegs', 'sampopemusic', 'raquel.themartins', 'ellenonceagain', 'foolishfrankie', 'torreredman', 'damoyee', 'wizeprep', 'theonlytylerl', 'andrew.hadro', 'rorymckenna93', 'staceyryanmusic', 'alexengelberg']","['tiktok', 'rjthecomposer', 'jeremyolenski', 'profflutebae', 'amandlafr', 'dompalombimusic', 'andpacker', 'huberjonathan', 'maha_yrysbekova', 'vadesings', 'alesssos', 'caseybassy', 'ralphb0ne', 'laurathelegs', 'sampopemusic', 'raquel.themartins', 'ellenonceagain', 'foolishfrankie', 'torreredman', 'meganhealytv', 'damoyee', 'wizeprep', 'theonlytylerl', 'projectatlanticmusic', 'andrew.hadro', 'rorymckenna93', 'staceyryanmusic', 'jimm3rz', 'alexengelberg']",[],{},"['christmas', 'piano', 'jazz', 'ewf', 'september', 'feelgood', 'vibes', 'pop', 'effect', 'synths', 'head', 'duet', 'jazztok', 'musician', 'unresolved']","['bass', 'piano', 'chords', 'saxophone']","['jazz', 'funk', 'pop', 'hiphop', 'lofi', 'gospel']"
rubenwan,Ruben Wan,listen to “estrellas” ↓ ↓ ↓,False,55400,81,373800,93,2021-12-03,"['jamieboymusic', 'bandlab', 'dojacat']",[],"['jamieboymusic', 'bandlab', 'dojacat']",[],{},"['singers', 'songwriter', 'guitar', 'producer', 'guitartok', 'lyrics', 'singing', 'acoustic', 'acousticguitar', 'chords', 'music', 'rnb', 'kpop', 'cantautor', 'panama']","['guitar', 'chords']","['pop', 'rap', 'rnb', 'groove', 'neosoul', 'house']"
elena.honey,Elena Honey,"20
She/her
Music Student
🍯",False,17600,39,155600,113,2022-01-06,"['rachelchinouriri', 'eddieallenn', 'astnmusic', 'elliecupitt', 'torikelly', 'vadesings', 'sarahcothran', 'pinkpantheress', 'therealmaneskin']",['rorymckenna93'],"['rachelchinouriri', 'eddieallenn', 'astnmusic', 'elliecupitt', 'torikelly', 'vadesings', 'rorymckenna93', 'sarahcothran', 'pinkpantheress', 'therealmaneskin']",[],{},"['fyp', 'singingchallenge', 'singing', 'letmedown', 'jorjiasmith', 'happierthanever', 'original', 'songwriter', 'adele', 'nwantiti', 'jasminesullivan', 'freebritney', 'singingcover', 'duet', 'ohboyitsyou']",[],[]
