user_name,nickname,signature,verified,follower_count,following_count,likes_count,video_count,last_active,mentions,duos,collabs,music_collabs,music_collabs_url,collabs_url,hashtags,instruments,styles
kissamile,kissamile,"☀️ Neosoul - Chillhop duo
5K on insta 🚀
On all streaming platforms🔊",False,1074,80,7433,183,2022-01-06,"['dellguistovitch', 'conor_albert', 'usercedbebert', 'nigy_boyagain']","['thomasalanng', 'rob1toad']","['thomasalanng', 'rob1toad', 'dellguistovitch', 'conor_albert', 'usercedbebert', 'nigy_boyagain']",[],{},"{'thomasalanng': 'https://tiktok.com/@thomasalanng/video/7018990689786580229', 'rob1toad': 'https://tiktok.com/@rob1toad/video/7018990689786580229', 'dellguistovitch': 'https://tiktok.com/@dellguistovitch/video/7016359125097434373', 'conor_albert': 'https://tiktok.com/@conor_albert/video/7014064900519496965', 'usercedbebert': 'https://tiktok.com/@usercedbebert/video/7013781757052914949', 'nigy_boyagain': 'https://tiktok.com/@nigy_boyagain/video/6985992889436294406'}","['homestudio', 'producer', 'cleaning', 'ranger', 'resolution2022', 'chillhop', 'chillbeats', 'neosoul', 'lofibeat', 'jazzhop', 'jamming', 'jammin', 'drums', 'piano', 'chords', 'iledelareunion', 'reunionisland', 'maloya', '974', 'vocals', 'hiphopbeat', 'makingbeats', 'groove', 'keys', 'tiktokmusique', 'synthbass', 'musicproducer', 'bass', 'ilovepiano', 'musique', 'pianist', 'synth', 'neosoulguitar', 'acousticguitar', 'instru', 'pt', 'beatloop', 'loop', 'howtomakebeats', 'sample', 'looper', 'abletonlive', 'producteurmusique', 'serum', 'yousingmelody', 'singwithus', 'fyp', 'harmonies', 'justinbieber', 'singers', 'chanteavecmoi', 'duo', 'saxophone', 'chill', 'thomasng', 'harmony', 'flaws', 'duet', 'chillbeat', 'groovin', 'musicien', 'batteuse', 'guitar', 'bassdrum', 'newgear', 'tama', 'pearldrums', 'musicians', 'sing', 'chanter', 'apprendreachanter', 'howtosing', 'confianceensoi', 'rnbvocals', 'jazzpiano', 'singing', 'conoralbert', 'conoralbertchallenge', 'sax', 'fy', 'riffandruns', 'howtosingruns', 'beginnersinger', 'vocalrun', 'entrepreneuse', 'musicienne', 'culpabilité', 'mindset', 'maviedemusicienne', 'musician', 'pianoblues', 'apprendrelepiano', 'blues', 'pianodebutant', 'reharm', 'reharmonisation', 'reharmonization', 'tikenjahfacoly', 'vocalharmonies', 'reggaecover', 'frenchmusician', 'tikenjahfakoly', 'cover', 'duetme', 'duetmechallenge', 'pianogroove', 'neosoulchords', 'singingchallenge', 'duetwithme', 'pianorhytmics', 'nordstage2', 'singingforbeginners', 'singingexercise', 'vocalagility', 'echauffementvocal', 'entrepreneur', 'workingoutside', 'beatmaker', 'akaimpkmini', 'rnb', 'splice', 'jaicreeunechanson', 'chanson', 'howtomakeasong', 'originalsong', 'songwritter', 'singersongwritter', 'newmusic', 'chanteur', 'anglaisfrancais', 'song', 'lyrics', 'paroles', 'singin', 'singersongwriter', 'singingasong', 'writethelyrics', 'writingasong', 'tiktokmusic', 'composer', 'ecrire', 'dismoisansmedire', 'tellmewithouttellingme', 'pianoexercise', 'pianotuto', 'pianolessons', 'pianotips', 'praticetime', 'musiciansoftiktok', 'pianojazz', 'pianovoix', 'singersongwritersoftiktok', 'singersongwriters', 'livemusic', 'jam', 'musiciens', 'chanteurs', 'neosoulmusic', 'acoustique', 'newsong', 'nouveauson', 'ecouteça', 'lofipiano', 'dannyelfman', 'edwardscissorhands', 'beautifulpianomusic', 'pianoarrangement', 'pianocover', 'icedance', 'bestpiano', 'pianolovers🎹', 'musicianlife', 'jams', 'clones', 'lofihiphop', 'lofibeats', 'bassline', 'nordkeyboards', 'beats', 'producers', 'beatmakers', 'tiktokcover', 'jacobcollier', 'mahalia', 'allineed', 'reprise', 'singingcover', 'improvisation', 'pianosolo', 'soloing', 'tournage', 'filmer', 'summervlog', 'filmingoutside', 'basse', 'kompletekontrol', 'newkeyboard', 'clavier', 'nativeinstruments', 'jacobcolliercover', 'hideway', 'jacobcolliercouldbewatching', 'learningpiano', 'beautifulmelody', 'musiclover', 'guitarsolo', 'questionanswer', 'jazz', 'guitarjazz', 'putyourheardonmyshoulder', 'acapellacover', 'livesinginging', 'singertiktokmusician', 'musiciantiktok', 'goodvocals', 'voices', 'thirdstory', 'lovesong', 'runchallenge']","['guitar', 'bass', 'piano', 'drums', 'synth', 'chords', 'saxophone']","['jazz', 'rnb', 'groove', 'neosoul', 'blues']"
super_haz,Super Haz,"pianist/composer • tutorials 
🎄lofi christmas album link below🎄",False,25400,149,636600,179,2021-12-25,"['aaaronciito', 'piinoy.boy', 'julianhamner', 'bronze56k', 'devinesc21', 'jonasouii', 'pan_dx_', '4dasmoke', 'mane_ogg', 'pops_trickypjr', 'itsdrxi', 'dababy_new_account', 'jixlechen', '.oiluj', 'xianquartz', 'doublebackwhenugotitmade', 'deputy__dog', 'josh_4444', 'beatsbyjblack', 'xxdavidfrxx', 'preciousboost', 'nsmorgz', 'kibbypro', 'mw_574', 'ping0uin._', 'josh.jkj', 'straightbook', 'witherdeep', 'luketomt', 'ineedmythumbsback', 't.e.21', 'sejiin.k', 'arrop_boi', 'donnerdeal_official']",['caseybassy'],"['aaaronciito', 'piinoy.boy', 'julianhamner', 'bronze56k', 'devinesc21', 'jonasouii', 'pan_dx_', '4dasmoke', 'mane_ogg', 'pops_trickypjr', 'itsdrxi', 'dababy_new_account', 'jixlechen', '.oiluj', 'caseybassy', 'xianquartz', 'doublebackwhenugotitmade', 'deputy__dog', 'josh_4444', 'beatsbyjblack', 'xxdavidfrxx', 'preciousboost', 'nsmorgz', 'kibbypro', 'mw_574', 'ping0uin._', 'josh.jkj', 'straightbook', 'witherdeep', 'luketomt', 'ineedmythumbsback', 't.e.21', 'sejiin.k', 'arrop_boi', 'donnerdeal_official']",[],{},"{'aaaronciito': 'https://tiktok.com/@aaaronciito/video/7040859128679386373', 'piinoy.boy': 'https://tiktok.com/@piinoy.boy/video/7040119258948390149', 'julianhamner': 'https://tiktok.com/@julianhamner/video/7037896010256977157', 'bronze56k': 'https://tiktok.com/@bronze56k/video/7035667172458269957', 'devinesc21': 'https://tiktok.com/@devinesc21/video/7035291682518174981', 'jonasouii': 'https://tiktok.com/@jonasouii/video/7034924174887996678', 'pan_dx_': 'https://tiktok.com/@pan_dx_/video/7034551976901856517', '4dasmoke': 'https://tiktok.com/@4dasmoke/video/7033807476420021509', 'mane_ogg': 'https://tiktok.com/@mane_ogg/video/7033441620213173509', 'pops_trickypjr': 'https://tiktok.com/@pops_trickypjr/video/7030484050926161158', 'itsdrxi': 'https://tiktok.com/@itsdrxi/video/7027891176971848966', 'dababy_new_account': 'https://tiktok.com/@dababy_new_account/video/7027518837285211397', 'jixlechen': 'https://tiktok.com/@jixlechen/video/7027145431910059270', '.oiluj': 'https://tiktok.com/@.oiluj/video/7016739342164987141', 'caseybassy': 'https://tiktok.com/@caseybassy/video/7016375009685916933', 'xianquartz': 'https://tiktok.com/@xianquartz/video/7014144615909444869', 'doublebackwhenugotitmade': 'https://tiktok.com/@doublebackwhenugotitmade/video/7013772012699012358', 'deputy__dog': 'https://tiktok.com/@deputy__dog/video/7006725496612474117', 'josh_4444': 'https://tiktok.com/@josh_4444/video/7006349712005549317', 'beatsbyjblack': 'https://tiktok.com/@beatsbyjblack/video/7005977928487996678', 'xxdavidfrxx': 'https://tiktok.com/@xxdavidfrxx/video/7005605932243766534', 'preciousboost': 'https://tiktok.com/@preciousboost/video/7005236870703615237', 'nsmorgz': 'https://tiktok.com/@nsmorgz/video/7004862873021304070', 'kibbypro': 'https://tiktok.com/@kibbypro/video/7004491224493133061', 'mw_574': 'https://tiktok.com/@mw_574/video/7004128096391630085', 'ping0uin._': 'https://tiktok.com/@ping0uin._/video/7001523662226607366', 'josh.jkj': 'https://tiktok.com/@josh.jkj/video/7001155162412698885', 'straightbook': 'https://tiktok.com/@straightbook/video/6999671633787112710', 'witherdeep': 'https://tiktok.com/@witherdeep/video/6998934456845339910', 'luketomt': 'https://tiktok.com/@luketomt/video/6998556414809623814', 'ineedmythumbsback': 'https://tiktok.com/@ineedmythumbsback/video/6997453778832215301', 't.e.21': 'https://tiktok.com/@t.e.21/video/6997093320325336325', 'sejiin.k': 'https://tiktok.com/@sejiin.k/video/6996334854442896645', 'arrop_boi': 'https://tiktok.com/@arrop_boi/video/6995965417118289158', 'donnerdeal_official': 'https://tiktok.com/@donnerdeal_official/video/6995592027035438341'}","['vinceguaraldi', 'merrychristmas', 'christmasjazz', 'jazzchristmas', 'frostythesnowman', 'christmasmusic', 'jazzpiano', 'reharm', 'altogetherdifferent', 'haveyourselfamerrylittlechristmas', 'lofi', 'lofihiphop', 'lofiremix', 'christmassong', 'lofichristmas', 'imthemaincharacter', 'agony', 'yunglean', 'stranger', 'yunglean2001', 'martinsolal', 'newyorkheraldtribune', 'aboutdesoufle', 'aboutdesouffle', 'jeanlucgodard', 'lofipiano', 'christmaslofi', 'whitechristmas', 'jdilla', 'billevans', 'life', 'jdillabeats', 'milesdavis', 'blueingreen', 'pianosample', 'nujabes', 'shing02', 'luvsic', 'samuraichamploo', 'japanesehiphop', 'nostalgiamusic', 'sakuratree', 'saib', 'joeybadass', 'worlddomination', 'mfdoom', 'sample', 'fatalbert', 'daturastramonium', 'metalfingers', 'solace', 'earlsweatshirt', 'ahmadjamal', 'aprilinparis', 'sampling', 'nujabestiktok', 'neverseemeagain', 'kanye', 'kanyewest', 'ye', 'mbdtf', 'verypjportraits', 'pianotutorial', 'perfectcircle', 'trashy', 'jdillachangedmylife', 'tupac', '2pac', 'iaintmadatcha', 'alleyezonme', 'hiphoppiano', 'tupacshakur', 'allofthelights', 'mybeautifuldarktwistedfantasy', 'tkmaxxtalentshow', 'potsu', 'chillhop', 'pianist', 'lettinggo', 'wonderwaterdrip', 'jazz', 'groove', 'rnb', 'piano', 'gospel', 'pianosolo', 'duetthis', 'flower', 'modalsoul', 'duet', 'rhodes', 'funk', 'funky', 'musicchain', 'squidgame', 'squidgamenetflix', 'squidgames', 'squidgameali', 'eery', 'her', 'howlsmovingcastle', 'merrygoroundoflife', 'joehisaishi', 'studioghibli', 'anime', 'iwonder', 'homecoming', 'graduation', '123pandorame', 'chilhop', 'lofibeats', 'lofivibes', 'chillhopbeats', 'heardemsay', 'lateregistration', 'hiphopsample', 'everythingiam', 'donda', 'stitch', 'hiphop', 'pianobeats', 'samples', 'cashruleseverythingaroundme', 'cream', 'getthemoney', 'dollar', 'dollarbill', 'yall', 'wutangclan', 'chrismartin', 'clb', 'drake', 'knifetalk', 'certifiedloverboy', 'kiefer', 'madvillain', 'madvillainy', 'madlib', 'raid', 'allcaps', 'pianocover', 'outkast', 'roses', 'outkastmusic', 'pianomusic', 'rnbpiano', 'hiphopsamples', 'feather', 'nepo', '999', 'errollgarner', 'asmr', 'rainsound', 'rain', 'relaxingsounds', 'aliceinwonderland', 'burberrytb', 'bothofus', 'idealism', 'jdvapormaxshuffle', 'justfriends', 'sheetmusic', 'foodcourt', 'jayz', 'deadpresidents', 'nas', 'worldisyours', 'cruelsummerconfessions', 'theworldisyours', 'donnerdeal', 'midicontroller', 'midikeyboard', 'keyboard', 'musicproducer', 'electronicmusic', 'synthesizer', 'musician', 'ableton', 'logicpro', 'lofibeat', 'learnpiano', 'pianotok', 'splice', 'garnierunfiltered', 'nightlights', 'jazzbar', 'pianobar', 'soundscape']","['piano', 'rhodes']","['jazz', 'funk', 'rnb', 'hiphop', 'groove', 'lofi', 'gospel']"
