user_name,nickname,signature,verified,follower_count,following_count,likes_count,video_count,last_active,mentions,duos,collabs,music_collabs,hashtags,instruments,styles
benedictquinn,Ben Quinn,"oh hey!
guitarist and producer 
go follow my insta @benedictquinn",False,804,137,4965,69,2021-11-03,"jasmineoakleymusic
itsolihannaford
augie_bello",,"jasmineoakleymusic
itsolihannaford
augie_bello","jasmineoakleymusic : https://tiktok.com/@benedictquinn/video/6986018195622694149
","asktiktok, music, instrumental, chill, lofi, duetwithme, lofihiphop, guitar, beat, chillmusic, naturevibes, lofichill, musicforyou, fypシ, fyp, indie, indiemusic, acoustic, singersongwriter, chillvibes, vibes, bass, vibe, nature, rnb","guitar, bass, drums, synth, chords, saxophone","jazz ,rnb ,hiphop ,indie ,groove ,neosoul ,indiemusic ,lofi"
jasmineoakleymusic,Jasmine Oakley,Singer/Artist  ✨,False,5533,58,65300,54,2022-01-02,"pastelmusique
benedictquinn
thatdappermusician
marcrebillet
elena.honey","rubenwan
edbledbl
kaineofoeme","pastelmusique
benedictquinn
thatdappermusician
rubenwan
marcrebillet
elena.honey
edbledbl
kaineofoeme","benedictquinn : https://tiktok.com/@jasmineoakleymusic/video/6975678994733731078
","beats, rnb, singer, vocalist, riffs, fy, fyp, guitarist, bass, drums, freeme, bossa, clones, soul, music, gospel, piano, riff, soulmusic, guitar, producer, outdoors, jazz, songwriter, vocals","guitar, bass, piano, drums","jazz ,rap ,rnb ,neosoul ,lofi ,gospel"
