Id,Label,poids,style,instrument
215,maggieistyping,0,,
216,michiganderband,2,8,4
217,flavorworld_,0,2,
218,timayremusic,1,13,2
219,palmariaofficial,0,3,0
220,deezer,1,18,
221,artsygio,1,4,
222,drawwithm_,1,,
223,mmmmysie,0,,
224,tank,0,6,
225,basketball,5,4,
226,tayloredlin,0,,
227,plaidtheimpaler,3,,
228,bluelabbeats,0,0,2
229,scarypockets,1,1,0
230,kaelinellis,3,0,0
231,joshtenor,2,0,
232,yallknowpierre,0,1,1
233,george_collins_17,3,,0
234,awoogataz,14,0,0
235,daniel.hopin,3,0,0
236,luca.wetherall,1,0,0
237,aipha.kitten,1,,
238,messemupbeats,1,2,
239,stringjoy,2,4,0
240,worriedbellsprout,0,,
241,seeth_herdeler59058,1,4,
242,micahwmusic,1,,
243,amen.nate,0,2,0
244,mike.sax.repair.coach,1,0,6
245,timmyaluko,3,18,4
246,msgrantmusic,7,14,
247,retrosetjoe,3,2,
248,mr.backgroundvocals,0,,
249,horndoctor,0,0,1
250,devilscutky,0,2,
251,truefiretv,2,0,0
252,ladymooncries,0,4,0
253,rivers_cuomo,0,2,
254,xloganprevattx,3,4,
255,woah.it.cole,0,4,0
256,quineriah,1,,0
257,breakingandentering,0,4,
258,india_carney,2,,
259,stpaulandthebrokenbones,0,,3
260,thejefferymiller,0,0,0
261,avdbsings,1,2,
262,garretttevebaugh,3,4,0
263,dbcaudill,0,,1
264,arbourseason,1,8,
265,mezzomuse,3,10,2
266,eyyitskastro,0,0,0
267,urboi.xav,0,4,
268,wehatebenbeal,1,4,
269,sweeneysongs,0,,
270,brakence,1,18,
271,aleebimusic,1,3,
272,mr.mariner3,1,3,0
273,anewbeatband,1,4,
274,nickmobassman,3,0,1
275,deeinaayyeeetheproducer,1,4,2
276,jsoulmusiq5,2,1,
277,syko.beats,0,0,2
278,nancysteroids,0,3,2
279,skrunkly_squid,1,2,
280,errorkypton420,0,,
281,sebastian_mayorca,4,2,0
282,contrustmusic,1,0,2
283,biancaamadeus,0,,7
284,davesoundb,0,3,0
285,ember_trio_official,1,7,7
286,takeunobow,1,,
287,davidalexandersongs,3,,
288,duet_master056,0,,
289,writeondale,2,,
290,artplebe,0,4,
291,elle.x_3,1,4,
292,natashapenfield,5,,
293,kraetively,2,4,1
294,mr_jimbles,2,,
295,will_riddle,0,2,0
296,berkleecollege,1,,
297,joeycontreras,1,,
298,michael_mott,1,,
299,lorenallredofficial,2,4,
300,bobbycollinss,0,18,0
301,riffin_ryan1226,0,2,0
302,riffalicious1,5,5,0
303,bass_clef_chef,9,1,0
304,johnnytwobonez,6,,0
305,iame.i.j,1,2,
306,jssoundsbeats,1,4,
307,juliusptucker,3,,2
308,sonarred,3,2,0
309,jjoshuaowen,0,,0
310,jrodmag,14,1,0
311,madmanmusic,6,2,0
312,songbird_jo,0,2,0
313,looping_lewis,12,0,0
314,bettymichaels,1,6,0
315,ky.hollis,1,2,0
316,itsohlaur,1,2,
317,awesomeinstruments,4,15,2
318,julianachahayed,1,4,0
319,crisolsoulmusic,2,4,0
320,alex_beingalex,1,,0
321,oh_its_just_me_jay,0,,
322,sakeriver,1,4,
323,positivity_n_plushies,3,4,
324,glennjmurphy,2,,
325,accompanymusicals,2,3,2
326,dangelicony,7,2,0
327,gmillsmusic,1,0,
328,beatstars,1,4,0
329,soulsugarjoint,2,6,3
330,theamberlens,4,4,
331,chicathanu,1,6,
332,outkast,2,,
333,taviskordell,2,0,2
334,christoffmh,5,16,
335,sweyloft,1,,
336,mar_lifebelike,0,2,
337,hollsdolls18,3,3,
338,anileelist,4,,
339,gianna.caruso.music,1,,
340,torikellysangelz,0,2,0
341,hispanic_at_the_tiktok,0,4,
342,mattzhanger,3,,
343,kasahmusic,0,15,0
344,sydspurgs,2,,
345,wilbyyymusic,0,3,
346,hollyhumberstone,1,2,
347,ju.funny.mi2,0,,
348,real_rp,0,4,
349,dabblyducks,0,,
350,og_rafa4,0,,
351,dadadumkrazy,0,4,
352,outside_in_nz,11,2,0
353,blackbear1984,3,,
354,mrbrunomajor,2,0,0
355,lucasdotmusic,0,3,1
356,decapmusic,0,,
357,carrtoons,2,1,0
358,llynksmusic,1,3,
359,cpolly7,0,4,
360,dombag322,1,5,0
361,elison.music,7,4,
362,demonconductor,8,1,0
363,rocknlock,11,2,0
364,lucky.mz,1,1,0
365,scott_gifford,9,2,0
366,contejasmusic,0,0,2
367,markherz0,1,1,0
368,mcjammin,0,2,0
369,brotherjuju,0,0,0
370,pulisci,2,2,0
371,kayseethompson,4,2,0
372,houstonis_,0,6,
373,dotmvsic,0,19,1
374,angelinad_b,1,0,0
375,princessmash_,0,,
376,aries_bighorn,3,4,0
377,thetonemob,0,2,0
378,tylerjamesalford,1,2,0
379,belghaart,0,,
380,music_medic,0,,8
381,geez_spinelli,0,2,0
382,bandhypehouseofficial,1,0,8
383,rtsears,0,,
384,alanabedootin,0,4,2
385,emilydrum8,2,4,
386,rocketbear1885,1,2,
387,deegee2009,0,,
388,angrybirdtim,0,5,0
389,arielposen,1,,0
390,joebonamassaofficial,0,2,0
391,kwonrabbit,0,4,
392,ciaroc,0,,
393,musicwithmendez,2,0,1
394,moovsofficial,1,9,0
395,xqvs0,0,,
396,immikemich,0,4,
397,namethistune,1,2,0
398,tiffieleighann,0,,
399,vrrooomvrroom,0,,
400,vooo.ah,0,0,0
401,50landing,1,,
402,iamthelovelysinger,3,0,0
403,mikedrum4u,0,,0
404,rnbkenny,0,3,
405,altonwalkershow,1,6,3
406,chriskeeling_,0,2,0
407,meh.sofia,4,2,0
408,davidre575,0,5,0
409,boboshko_t,2,0,2
410,matteoscher,0,,
411,graceenger,2,4,
412,abyssalbroker,1,,
413,10.val.01,1,2,0
414,jukeboxtheghost,0,8,2
415,ingridmichaelson,0,2,
416,josephwheatleyofficial,0,0,1
417,gene_shinozaki,0,,
418,aiida_ii_,0,,
419,gabriellam.gonzalez,1,4,
420,sofreshnsoqueen,2,0,
421,jasminericenyc,1,10,
422,brettsinclairr,0,,
423,jacob_shie,1,1,0
424,booger19888,3,0,3
425,thehitmanpk,0,4,0
426,thedamienator,1,5,0
427,rob666music,4,2,0
428,drumtrom,4,0,0
429,lmcd94,5,2,0
430,dede_on_the_drums,3,5,0
431,alkove.wav,0,2,0
432,carolo666,2,2,0
433,oneraymusic,0,2,0
434,datmackattack,0,,
435,alexpehotin,1,,0
436,rickyreilly3,1,,0
437,jenny_deamhan,0,,0
438,bobbybatronic,1,1,0
439,deepridgeguitars,0,1,0
440,aybaybay13,1,18,
441,mixedbykamillion,0,,
442,skinnybone.jonez,2,4,
443,g_awarenerd_media,0,4,
444,ggrtl1,0,2,
445,ianhitsdrums,0,1,1
446,wolveerie,0,0,0
447,justinerinn,3,5,
448,joshtellsastory,0,5,
449,zelliottmusic,0,8,0
450,steezy.luv,0,4,
451,jasonreynoldsmusic,3,8,0
452,haweful,2,3,0
453,guitarbynicole,0,3,0
454,justinplaysguitar,1,2,0
455,jackiebootstraps,6,3,0
456,evntyd_,2,3,0
457,dopecalledglory,2,4,0
458,beatbox.saiyan,1,,0
459,metalbodyguitars,0,,0
460,richterstraps,0,4,0
461,seymourduncanpickups,0,1,0
462,d1nkyd0,2,2,0
463,pandastylebass,2,0,0
464,mrsteviesoul,3,0,0
465,iammorganreilly,2,6,
466,michael_djembe,4,13,0
467,caitygyorgy,0,0,0
468,lunchmoney_leon,0,3,2
469,jeffreyastevenson,1,0,0
470,mylesphilpott,0,2,0
471,thekount,1,1,1
472,hanah.tayeb,1,,
473,andysoloceltic,0,8,
474,jasmusicals,0,10,3
475,chrissoundhealing,0,,8
476,ryohoff,0,,8
477,marjossa,1,,
478,jamesbaygeek,0,,
479,miydoe.music,1,,0
480,matticawood,0,,
481,cubcos2,0,,
482,sarabareilles,0,4,
483,wailwithshannahrae,2,2,2
484,jtfsings,1,,0
485,ericassarsson,0,0,0
486,l.a.cendon,2,0,0
487,theguitarpig,1,4,0
488,chris.hart.music,2,2,0
489,nicole_cerminara,1,,0
490,giacomoturramusic,0,6,0
491,justinleeschultz,1,6,0
492,karlyroux,1,,
493,chandlerjarvis7,0,4,1
494,redevinemusic,0,7,
495,aashley_jayy,1,,
496,violintim,1,,2
497,johnwilliamflautist,0,0,8
498,jk.perry,0,,
499,crazyvocalz,0,4,
500,sweyloftmusic,0,4,0
501,lumber_jakey,0,,
502,max_pinson,1,10,2
503,andreapvalles,1,4,3
504,theyhavetherange,0,3,
505,williespence,0,,
506,lillianaaaaaaaaaaaaaaaa,1,,
507,vanderbiltmelodores,1,,
508,thefrontbottoms,0,2,0
509,samicartwright_,0,2,
510,edwardguitar,3,2,0
511,6ixstring,1,2,0
512,drauve,0,2,0
513,ryanwasoba,1,0,0
514,the_whitewolf01,0,,
515,blackbear1984.2,1,,
516,burntgamingmemes,0,4,
517,eloweeeezy_,0,0,0
518,itsreubenjames,2,0,2
519,conor_albert,0,0,0
520,chyldmusic,0,,
521,noeliebob76,0,5,
522,durry.music,1,8,0
523,heythereimdevin,5,3,0
524,matnik.music,1,2,0
525,jasonwritesmusic,5,1,0
526,valleypalace,0,2,
527,kks.nyc,8,2,0
528,joshoptical,0,5,0
529,gunderfunk,0,,0
530,drummingjoe,0,1,1
531,ulf_mickael_wahlgren,0,0,3
532,colinfowlienb,1,,0
533,agent57music,2,5,0
534,nf_drumming,0,5,0
535,bistriy_gonzales,1,0,0
536,spiritboxband,0,2,0
537,1stewart,2,4,
538,studiosixaudio,0,8,
