user_name,nickname,signature,verified,follower_count,following_count,likes_count,video_count,last_active,mentions,duos,collabs,music_collabs,music_collabs_url,collabs_url,hashtags,instruments,styles
benedictquinn,Ben Quinn,"oh hey!
guitarist and producer 
go follow my insta @benedictquinn",False,803,137,4962,69,2021-11-03,"['jasmineoakleymusic', 'itsolihannaford', 'augie_bello']",[],"['jasmineoakleymusic', 'itsolihannaford', 'augie_bello']","['jasmineoakleymusic', 'itsolihannaford']","{'jasmineoakleymusic': 'https://v16-webapp.tiktok.com/13146c08dabcc8fdc4518aac2a83e4af/61d74728/video/tos/useast2a/tos-useast2a-ve-0068c002/b6a04b31b97748f094987809e50e50e2/?a=1988&br=1794&bt=897&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201061346260102230750461E1554F2&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzV2ODc6ZjNvNjMzNzczM0ApNDM3NzdnZjtkN2g5Zmc6M2cya15gcjQwMm1gLS1kMTZzc2AwMTNiYV4xNGFeYjY0Nl86Yw%3D%3D&vl=&vr=', 'itsolihannaford': 'https://v16-webapp.tiktok.com/6b7392263134815d74e47dedf14c0105/61d7471d/video/tos/useast2a/tos-useast2a-ve-0068c003/95fc88f2525e47f1be38a0fac2b0809f/?a=1988&br=1904&bt=952&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201061346260102230750461E1554F2&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzRpNjxoZXdqNDMzNzczM0ApOWUzZDk7Z2VnNzo6ZTY4ZmdqNC5zLWhzNmlgLS1kMTZzczAxMi8wYzA2Yy4uNV4tYmA6Yw%3D%3D&vl=&vr='}","{'jasmineoakleymusic': 'https://v16-webapp.tiktok.com/13146c08dabcc8fdc4518aac2a83e4af/61d74728/video/tos/useast2a/tos-useast2a-ve-0068c002/b6a04b31b97748f094987809e50e50e2/?a=1988&br=1794&bt=897&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201061346260102230750461E1554F2&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzV2ODc6ZjNvNjMzNzczM0ApNDM3NzdnZjtkN2g5Zmc6M2cya15gcjQwMm1gLS1kMTZzc2AwMTNiYV4xNGFeYjY0Nl86Yw%3D%3D&vl=&vr=', 'itsolihannaford': 'https://v16-webapp.tiktok.com/6b7392263134815d74e47dedf14c0105/61d7471d/video/tos/useast2a/tos-useast2a-ve-0068c003/95fc88f2525e47f1be38a0fac2b0809f/?a=1988&br=1904&bt=952&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201061346260102230750461E1554F2&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzRpNjxoZXdqNDMzNzczM0ApOWUzZDk7Z2VnNzo6ZTY4ZmdqNC5zLWhzNmlgLS1kMTZzczAxMi8wYzA2Yy4uNV4tYmA6Yw%3D%3D&vl=&vr=', 'augie_bello': 'https://v16-webapp.tiktok.com/5a7e9ab1a09a0de79fa9f54bcde93254/61d7474d/video/tos/useast2a/tos-useast2a-pve-0068/ff7a4f453a564e11a43bed20bbb9dfb0/?a=1988&br=2538&bt=1269&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201061346260102230750461E1554F2&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amQ6PGVzbTNlMzMzNTczM0ApOzczM2ZlODs1NzozOTxoPGctL3JncW1mbWNgLS0wMTZzc140YWMyMTJjXjQ2LTYzYTM6Yw%3D%3D&vl=&vr='}","['asktiktok', 'music', 'instrumental', 'chill', 'lofi', 'duetwithme', 'lofihiphop', 'guitar', 'beat', 'chillmusic', 'naturevibes', 'lofichill', 'musicforyou', 'fypシ', 'fyp', 'indie', 'indiemusic', 'acoustic', 'singersongwriter', 'chillvibes', 'vibes', 'bass', 'vibe', 'nature', 'rnb', 'chords', 'neosoul', 'loop', 'guitartutorial', 'pickupmusic', 'jazztok', 'groove', 'lofibeat', 'hiphop', 'foryoupage', 'givemeabeat', 'wurlitzer', 'beats', 'housemusic', 'synthesizer', 'rave', 'areyoureadytowear', 'lofibeats', 'jdilla', 'gfunk', 'synth', 'jam', 'jazz', 'keyboard', 'livemusic', 'live', 'beatmaker', 'producer', 'drums', 'newmusic', 'guitartok', 'fender', 'gibson', 'soul', 'retro', 'loops', 'tiktokmusic', 'jams', 'againsttheclock', 'saxophone', 'lofiguitar']","['guitar', 'bass', 'drums', 'synth', 'chords', 'saxophone']","['jazz', 'rnb', 'hiphop', 'indie', 'groove', 'neosoul', 'indiemusic', 'lofi']"
jasmineoakleymusic,Jasmine Oakley,Singer/Artist  ✨,False,5533,58,65300,54,2022-01-02,"['pastelmusique', 'benedictquinn', 'thatdappermusician', 'marcrebillet', 'elena.honey']","['rubenwan', 'edbledbl', 'kaineofoeme']","['pastelmusique', 'benedictquinn', 'thatdappermusician', 'rubenwan', 'marcrebillet', 'elena.honey', 'edbledbl', 'kaineofoeme']","['pastelmusique', 'benedictquinn']","{'pastelmusique': 'https://v16-webapp.tiktok.com/983b18c9c8b64b814318d69a7dfa3f88/61d7474c/video/tos/useast2a/tos-useast2a-pve-0068/6b55af593bcf41019a88026c6404fd60/?a=1988&br=1012&bt=506&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=2&er=&ft=Yu12_F8rkag3-I&l=202201061346350102230750461E155831&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=andvNzo6Zmh2OjMzNzczM0ApNWk4aTtoZzs0N2c7aGU7NWcvYWkycjRfMDVgLS1kMTZzc2M2Ll8wNDJfNi1fNGAtMWM6Yw%3D%3D&vl=&vr=', 'benedictquinn': 'https://v16-webapp.tiktok.com/3d00f0cc79632e46021e9b9b7f3e02cb/61d74732/video/tos/useast2a/tos-useast2a-ve-0068c001/66765dab42864a038b1be4a1f7f7b2ae/?a=1988&br=1012&bt=506&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=2&er=&ft=Yu12_F8rkag3-I&l=202201061346350102230750461E155831&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=anV5dW46eTg8NjMzODczNEApZjVpZWhnZWQ1NzNkPDQ5NGc2L2VfbGc2YjRgLS1kMS1zczNfNDE2MTE2LS80YGFhYC46Yw%3D%3D&vl=&vr='}","{'pastelmusique': 'https://v16-webapp.tiktok.com/983b18c9c8b64b814318d69a7dfa3f88/61d7474c/video/tos/useast2a/tos-useast2a-pve-0068/6b55af593bcf41019a88026c6404fd60/?a=1988&br=1012&bt=506&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=2&er=&ft=Yu12_F8rkag3-I&l=202201061346350102230750461E155831&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=andvNzo6Zmh2OjMzNzczM0ApNWk4aTtoZzs0N2c7aGU7NWcvYWkycjRfMDVgLS1kMTZzc2M2Ll8wNDJfNi1fNGAtMWM6Yw%3D%3D&vl=&vr=', 'benedictquinn': 'https://v16-webapp.tiktok.com/3d00f0cc79632e46021e9b9b7f3e02cb/61d74732/video/tos/useast2a/tos-useast2a-ve-0068c001/66765dab42864a038b1be4a1f7f7b2ae/?a=1988&br=1012&bt=506&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=2&er=&ft=Yu12_F8rkag3-I&l=202201061346350102230750461E155831&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=anV5dW46eTg8NjMzODczNEApZjVpZWhnZWQ1NzNkPDQ5NGc2L2VfbGc2YjRgLS1kMS1zczNfNDE2MTE2LS80YGFhYC46Yw%3D%3D&vl=&vr=', 'thatdappermusician': 'https://v16-webapp.tiktok.com/9527fe52102b42c5ad731e29fd0f5e7b/61d7473c/video/tos/alisg/tos-alisg-pve-0037c001/065c0f5d6e52419c8b0c5eea298072d1/?a=1988&br=610&bt=305&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=2&er=&ft=Yu12_F8rkag3-I&l=202201061346350102230750461E155831&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=anZrOTxob3lpNTMzODczM0ApZjw8OTs4O2RoNzk0M2gzO2cuLjFtaC9qZmBgLS1kMTRzczAxLjEuXjJeLi8uLy1jYzY6Yw%3D%3D&vl=&vr=', 'rubenwan': 'https://v16-webapp.tiktok.com/e94bb28a22396085a053ffe3e940767d/61d7474a/video/tos/useast2a/tos-useast2a-ve-0068c004/ed6c5a64a2c0422b86396810016ebf11/?a=1988&br=996&bt=498&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201061346350102230750461E155831&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2h1eGlvNDxsNDMzNzczM0ApOmY7O2c3ODs0Nzs4NTU1O2dva3MwLjZsb2ZgLS1kMTZzc2NgY2EwMjZiNDUvMDRjXjE6Yw%3D%3D&vl=&vr=', 'marcrebillet': 'https://v16-webapp.tiktok.com/390e9e3b0773539b3c0a8065405ba806/61d74752/video/tos/alisg/tos-alisg-pve-0037c001/e6c0bea2d52f4f228ad172d41c6ff710/?a=1988&br=506&bt=253&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201061346350102230750461E155831&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=anJwM2ptajVoNDMzNjczM0ApPDo3aTk7ODwzNzg0OmlmNmcvcDEvLjNyMS9gLS0uMTRzc15jMjYuNl5jY2NjYTUxYl46Yw%3D%3D&vl=&vr=', 'elena.honey': 'https://v16-webapp.tiktok.com/956a772eb5c02b33ecb74a5a38a04a19/61d7473b/video/tos/useast2a/tos-useast2a-pve-0068/4c901410c77244ef95347596dd357a9a/?a=1988&br=568&bt=284&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=2&er=&ft=Yu12_F8rkag3-I&l=202201061346350102230750461E155831&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=anY8aGR2ZmZvMzMzNzczM0ApOTo3ZTY8Zzs4N2U6ZjxoaGcwMWBrNi9fa2ZgLS00MTZzczI2NjIuMzNeYF4tYDUxNGA6Yw%3D%3D&vl=&vr=', 'edbledbl': 'https://v16-webapp.tiktok.com/ec605bafdb08543568b72107f276d138/61d74732/video/tos/useast2a/tos-useast2a-ve-0068c003/bb29a523e08d45e8921ba9fb07269e32/?a=1988&br=884&bt=442&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201061346350102230750461E155831&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2YzdXZnZHQ2MzMzNTczM0ApN2loZGkzOjs4NzU4Zzc6OGdxa3AzLmJgXmJgLS1hMTZzczY2L2E2YmAvY19hNWBiXy46Yw%3D%3D&vl=&vr=', 'kaineofoeme': 'https://v16-webapp.tiktok.com/beb30da8b905be5f57aae826db338b34/61d74757/video/tos/useast2a/tos-useast2a-ve-0068c004/42440754b5a9449297c65c3f6d8b8824/?a=1988&br=956&bt=478&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201061346350102230750461E155831&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3Bkb2h4cXE2MzMzNTczM0ApNGVlM2U0aTs7NzxoNDQ3Z2dkZGZjNWgvMGJgLS0wMTZzc180MTJfXzI0L2AyXy0vYS46Yw%3D%3D&vl=&vr='}","['beats', 'rnb', 'singer', 'vocalist', 'riffs', 'fy', 'fyp', 'guitarist', 'bass', 'drums', 'freeme', 'bossa', 'clones', 'soul', 'music', 'gospel', 'piano', 'riff', 'soulmusic', 'guitar', 'producer', 'outdoors', 'jazz', 'songwriter', 'vocals', 'cover', 'shilohdynasty', 'voiceeffects', 'alexisley', 'pjmorton', 'acoustic', 'vcalist', 'harmonies', 'freestyle', 'rap', 'keys', 'production', 'jheneaikovibes', 'femaleproducer', 'neosoul', 'originalsong', 'beat', 'lovesong', 'foryoupage', 'vibes', 'duet', 'soulvocals', 'heartbreak', 'sidewayscover', 'femalesinger', 'writing', 'orginal', 'remix', 'jazminesullivancover', 'jazminesullivanriffchallenge', 'jazminesullivan', 'riffchallenge', 'roadto10kchallenge', 'original', 'aliciakeys', 'iaintgotyou', 'iaintgotyoucover', 'rnbsinger', 'singers', 'edbl', 'live', 'lofi', 'swv', 'rain', 'raincover', 'swvraincover']","['guitar', 'bass', 'piano', 'drums']","['jazz', 'rap', 'rnb', 'neosoul', 'lofi', 'gospel']"
itsolihannaford,OLI HANNAFORD,Posting beats here and there,False,65,26,221,3,2021-04-21,"['benedictquinn', 'nothing_neue']",[],"['benedictquinn', 'nothing_neue']",['benedictquinn'],{'benedictquinn': 'https://v16-webapp.tiktok.com/bb257f109147679e1d135a71f5c15eb8/61d74731/video/tos/useast2a/tos-useast2a-ve-0068c004/3b34a97b06464f1cbce7ee085e8ff2e9/?a=1988&br=1902&bt=951&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=2022010613464701022302320806157140&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzdyNzhkbmZlNDMzNzczM0ApZDNlNjQ7NWU7N2loZTtmaWcwLTEtLWQ1c2lgLS1kMTZzczNgLTAtMjQ0NC5jYDFgMmA6Yw%3D%3D&vl=&vr='},"{'benedictquinn': 'https://v16-webapp.tiktok.com/bb257f109147679e1d135a71f5c15eb8/61d74731/video/tos/useast2a/tos-useast2a-ve-0068c004/3b34a97b06464f1cbce7ee085e8ff2e9/?a=1988&br=1902&bt=951&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=2022010613464701022302320806157140&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzdyNzhkbmZlNDMzNzczM0ApZDNlNjQ7NWU7N2loZTtmaWcwLTEtLWQ1c2lgLS1kMTZzczNgLTAtMjQ0NC5jYDFgMmA6Yw%3D%3D&vl=&vr=', 'nothing_neue': 'https://v16-webapp.tiktok.com/bb257f109147679e1d135a71f5c15eb8/61d74731/video/tos/useast2a/tos-useast2a-ve-0068c004/3b34a97b06464f1cbce7ee085e8ff2e9/?a=1988&br=1902&bt=951&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=2022010613464701022302320806157140&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzdyNzhkbmZlNDMzNzczM0ApZDNlNjQ7NWU7N2loZTtmaWcwLTEtLWQ1c2lgLS1kMTZzczNgLTAtMjQ0NC5jYDFgMmA6Yw%3D%3D&vl=&vr='}","['jazz', 'beats', 'lofibeats', 'neosoul', 'jam', 'jazzguitar', 'lofi', 'bass', 'drums', 'boombap']","['bass', 'drums']","['jazz', 'neosoul', 'lofi']"
pastelmusique,Ｐａｓｔｅｌ,"FOLLOW ME ON IG ✨
Ｐａｓｔｅｌ",False,1069,84,4733,75,2022-01-06,"['bomelmusic', 'katpenkin', 'jasmineoakleymusic', 'orlarae__', 'blowsom_tiktok', 'emmahoet', 'jacksonmathod', 'niminowayjose']",[],"['bomelmusic', 'katpenkin', 'jasmineoakleymusic', 'orlarae__', 'blowsom_tiktok', 'emmahoet', 'jacksonmathod', 'niminowayjose']",['jasmineoakleymusic'],{'jasmineoakleymusic': 'https://v16-webapp.tiktok.com/72346952fc8d81938055a3600bc940f5/61d74778/video/tos/useast2a/tos-useast2a-ve-0068c003/ea1f8938cdaf4b89bfe30445d900c832/?a=1988&br=1496&bt=748&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=2022010613472001018905004126158864&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amc8bzY6ZnFxOTMzNzczM0ApN2RoPGdoOjs2NzxkZDM7N2dxZ2FjcjRvam9gLS1kMTZzcy8wY19eMC0yLjYwNWI2M2A6Yw%3D%3D&vl=&vr='},"{'bomelmusic': 'https://v16-webapp.tiktok.com/1e6376cb22002b3bb9564bffb8099634/61d74789/video/tos/useast2a/tos-useast2a-ve-0068c004/e9a44122a3614968b4b9e929e82d6f79/?a=1988&br=2566&bt=1283&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=2022010613472001018905004126158864&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzQ1NTc6ZjZxOjMzNzczM0ApZGY1OWVmOGVoN2k1ZTQ7M2cuMXBlcjRfLy9gLS1kMTZzc2EzLy0zX2M1YS1fYV4yMF46Yw%3D%3D&vl=&vr=', 'katpenkin': 'https://v16-webapp.tiktok.com/1aa79e954dcd21efd6e4322948cacf48/61d7477d/video/tos/useast2a/tos-useast2a-pve-0068/0fcd27b962234f568ef6fe74660012d4/?a=1988&br=1934&bt=967&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=2022010613472001018905004126158864&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2c0M2Y6ZnlqOTMzNzczM0ApNjszZzZpOTxlN2kzNjxlNWdiZC9wcjRnMnNgLS1kMTZzczQ1XmEtMDVhYF8vMTFfNjY6Yw%3D%3D&vl=&vr=', 'jasmineoakleymusic': 'https://v16-webapp.tiktok.com/72346952fc8d81938055a3600bc940f5/61d74778/video/tos/useast2a/tos-useast2a-ve-0068c003/ea1f8938cdaf4b89bfe30445d900c832/?a=1988&br=1496&bt=748&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=2022010613472001018905004126158864&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amc8bzY6ZnFxOTMzNzczM0ApN2RoPGdoOjs2NzxkZDM7N2dxZ2FjcjRvam9gLS1kMTZzcy8wY19eMC0yLjYwNWI2M2A6Yw%3D%3D&vl=&vr=', 'orlarae__': 'https://v16-webapp.tiktok.com/50964876af2a3da99b7a75c7a28b9048/61d74774/video/tos/useast2a/tos-useast2a-ve-0068c002/7bd4c678ebe54cde9da54261e89b4535/?a=1988&br=1804&bt=902&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=2022010613472001018905004126158864&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=Mzp2dzw6Zjk1OTMzNzczM0ApNTs6NDQ0Ojw2NzY6ZGc5N2dqcC5tcjRfMmNgLS1kMTZzczYvNTJhMWNjMTVhMTReMTM6Yw%3D%3D&vl=&vr=', 'blowsom_tiktok': 'https://v16-webapp.tiktok.com/8ab221924a524316c6e135350a580118/61d7476a/video/tos/useast2a/tos-useast2a-ve-0068c004/d0cb9f181e914ed79fc240a237c029fc/?a=1988&br=1962&bt=981&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=2022010613472001018905004126158864&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzhxeDo6ZmVlOTMzNzczM0ApNjs4ZDYzOTxoNzczN2k7NWdqZ2sucjQwMjZgLS1kMTZzczBfXjExXzRfNWMtM2AyLWE6Yw%3D%3D&vl=&vr=', 'emmahoet': 'https://v16-webapp.tiktok.com/667ade40cc5a3d8b4801858bce484869/61d74784/video/tos/useast2a/tos-useast2a-pve-0068/a8e0fb7f648a44f8810fa129d6390942/?a=1988&br=2816&bt=1408&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=2022010613472001018905004126158864&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amx2PDY6Znc8OTMzNzczM0ApM2U0PDZmOmUzNzQ4PGUzPGc0cnAucjRvajJgLS1kMTZzc2AuMWBjL2ItLS02NS1eNjY6Yw%3D%3D&vl=&vr=', 'jacksonmathod': 'https://v16-webapp.tiktok.com/4c884c02e8404dfb7a4616941566008c/61d7477f/video/tos/useast2a/tos-useast2a-pve-0068/a61b79189ba742978d8a55587184819d/?a=1988&br=2164&bt=1082&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=2022010613472001018905004126158864&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3NxOWU6ZjM0OTMzNzczM0ApOzY0Zzo6ZmQ6Nzs1ODVoZ2dwb2RkcjRvLjFgLS1kMTZzczQyXi4xNGEwMTQ1MmA0Ni46Yw%3D%3D&vl=&vr=', 'niminowayjose': 'https://v16-webapp.tiktok.com/56839ccf15a364b0c319a814ea20db0a/61d74784/video/tos/useast2a/tos-useast2a-ve-0068c002/f60f348b2212464e8e424106fbcf9083/?a=1988&br=2206&bt=1103&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=2022010613472001018905004126158864&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3Q2Z2Q6ZnY2ODMzNzczM0ApZTk7NTVlZWU3Nzk2ZWk1NmdtbjJwcjRfMGxgLS1kMTZzczJiX2AyLy0tXzNhMDU1Yi46Yw%3D%3D&vl=&vr='}","['ometv', 'ome_tv', 'ometvindonesia', 'cuteness', 'foryouu', 'tiktokpoll', '2022fashion', 'hello2022', 'bye2021', 'newyearsoutfit', 'foryou2022', 'tiktokmusique', 'groovy', 'funktiktok', 'musicproducer', 'idsong', 'gfunk', 'funkopop', 'fyp', 'pourtoi', 'beatmaker', 'tiktokrewind2021', 'rewindchallenge', '2021', 'foryou2021', 'tiktokmusic', 'jazztok', 'christmassong', 'rnbvibes', 'rnbtok', 'soulmusic', 'france🇫🇷', 'welcometofrance', 'frenchmorning', 'songwriter', 'livemusic', 'singer', 'bossanova', 'rnbsinger', 'neosoulmusic', 'femalesinger', 'indiepopmusic', 'studiosessions', 'lofivibes', 'omgvoices', 'neosoulguitar', 'neosoulvibes', 'lofihiphop', 'rnbmusic', 'originalmusic', 'lofibeat', 'coversong', 'britneychallenge', 'britneyspears', 'jazzpiano', 'pianomusic', 'lofijazz', 'singersongwriter', 'femalevocalist', 'fypp', 'housemusic', 'originalsong', 'houseoftiktok', 'techno', 'fypage', 'partytime', 'aftershow', 'wildparty', 'partygirl', 'fypシ', 'parisvlog', 'paris', 'foryoupage', 'musiciansoftiktok', 'music', 'indiemusic', 'fypmusic', 'hiphopbeat', 'trumpetplayer', 'frenchtouch', 'popsong', 'ladyhearmetonight', 'funkyboys', 'lofimusicvibes', 'whatwouldpoptartsdot', 'viral', 'songwritersoftiktok', 'singing', 'housemusiclovers', 'bossanovachords', 'beatmakingtutorial', 'bedroompopmusic', 'poppunkkid', 'beatmakertips', 'producingbeats', 'lofibeats', 'bedroomproducer', 'jamsession']",[],['indiemusic']
