user_name,nickname,signature,verified,follower_count,following_count,likes_count,video_count,last_active,mentions,duos,collabs,music_collabs,music_collabs_url,collabs_url,hashtags,instruments,styles
kissamile,kissamile,"☀️ Neosoul - Chillhop duo
5K on insta 🚀
On all streaming platforms🔊",False,1074,80,7424,182,2021-12-06,"['conor_albert', 'usercedbebert']",[],"['conor_albert', 'usercedbebert']",['conor_albert'],{'conor_albert': 'https://v16-webapp.tiktok.com/787f56f5c2576c0ba22e2bf29d297107/61d4ff45/video/tos/useast2a/tos-useast2a-ve-0068c002/1b04c3c29ee14563bd0e39396983b892/?a=1988&br=3018&bt=1509&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=20220104201511010191043154144591F7&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2lwPDc6ZnBpODMzNzczM0ApN2QzNmU4ZWU5NzNpOjpkZ2dfYGc2cjRvYV9gLS1kMTZzczMzYS5eLi80NDQuMGBjMDU6Yw%3D%3D&vl=&vr='},"{'conor_albert': 'https://v16-webapp.tiktok.com/787f56f5c2576c0ba22e2bf29d297107/61d4ff45/video/tos/useast2a/tos-useast2a-ve-0068c002/1b04c3c29ee14563bd0e39396983b892/?a=1988&br=3018&bt=1509&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=20220104201511010191043154144591F7&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2lwPDc6ZnBpODMzNzczM0ApN2QzNmU4ZWU5NzNpOjpkZ2dfYGc2cjRvYV9gLS1kMTZzczMzYS5eLi80NDQuMGBjMDU6Yw%3D%3D&vl=&vr=', 'usercedbebert': 'https://v16-webapp.tiktok.com/7de2fb77f05533e407526a4bc7f866d6/61d4ffa1/video/tos/useast2a/tos-useast2a-ve-0068c003/af59e92c96664e6a8893ee80cccc6100/?a=1988&br=1736&bt=868&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=20220104201511010191043154144591F7&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzZ4ZDo6Zmt5ODMzNzczM0ApOjdnZWVkaGQ4NzY2ODQ2OmcvNWtmcjQwXl5gLS1kMTZzczMyNDMxNjZiXzFfYmJiLmM6Yw%3D%3D&vl=&vr='}","['chillhop', 'chillbeats', 'neosoul', 'lofibeat', 'jazzhop', 'jamming', 'jammin', 'drums', 'piano', 'chords', 'iledelareunion', 'reunionisland', 'maloya', '974', 'vocals', 'hiphopbeat', 'makingbeats', 'groove', 'keys', 'tiktokmusique', 'synthbass', 'musicproducer', 'bass', 'ilovepiano', 'musique', 'pianist', 'synth', 'neosoulguitar', 'acousticguitar', 'instru', 'pt', 'beatloop', 'loop', 'producer', 'howtomakebeats', 'sample', 'looper', 'abletonlive', 'producteurmusique', 'serum', 'chillbeat', 'groovin', 'musicien', 'batteuse', 'guitar', 'bassdrum', 'newgear', 'tama', 'pearldrums', 'musicians', 'rnbvocals', 'jazzpiano', 'singing', 'conoralbert', 'conoralbertchallenge', 'sax', 'saxophone', 'fy', 'musician', 'pianoblues', 'apprendrelepiano', 'blues', 'pianodebutant', 'reharm', 'reharmonisation', 'reharmonization', 'tikenjahfacoly', 'vocalharmonies', 'reggaecover', 'frenchmusician', 'tikenjahfakoly', 'cover', 'musicienne', 'entrepreneur', 'workingoutside', 'beatmaker', 'akaimpkmini', 'rnb', 'chanter', 'splice', 'jaicreeunechanson', 'chanson', 'howtomakeasong', 'originalsong', 'songwritter', 'singersongwritter', 'newmusic', 'chanteur', 'anglaisfrancais', 'song', 'lyrics', 'paroles', 'singin', 'singersongwriter', 'singingasong', 'writethelyrics', 'writingasong', 'tiktokmusic']","['guitar', 'bass', 'piano', 'drums', 'synth', 'chords', 'saxophone']","['rnb', 'groove', 'neosoul', 'blues']"
conor_albert,Conor Albert,m n James Smith got a new tune out ! Checkkittt ⬇️,True,65800,135,651400,123,2022-01-04,"['themaxpope', 'mayadelilahh', 'jeremyzucker', 'parthenop']",[],"['themaxpope', 'mayadelilahh', 'jeremyzucker', 'parthenop']","['themaxpope', 'parthenop']","{'themaxpope': 'https://v16-webapp.tiktok.com/57abe6236b0dff6fa931f3b990c7ddc2/61d4ff4e/video/tos/useast2a/tos-useast2a-ve-0068c002/dad71543457c41629449d18be484fd83/?a=1988&br=1814&bt=907&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201042015160102230850192645848A&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajhqZDw6Zmx3OTMzNzczM0ApZmZkMzdmMzs7NzdmaDw4OWcxY2JucjQwY2FgLS1kMTZzc18uY2BjYDZfMy8wYTIuYWI6Yw%3D%3D&vl=&vr=', 'parthenop': 'https://v16-webapp.tiktok.com/5b937aa8f1a2b3292aaec6db294d3688/61d4ff3e/video/tos/useast2a/tos-useast2a-pve-0068/68a193512f9c45bea2ef31722c605b01/?a=1988&br=3066&bt=1533&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201042015160102230850192645848A&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajU0bTQ6ZmlqNzMzNzczM0ApOTc8NWZmaGRkN2hkOGZmOmdtXmFscjRfbS5gLS1kMTZzc2BjMzMxNTQvMzAuM2FiYV86Yw%3D%3D&vl=&vr='}","{'themaxpope': 'https://v16-webapp.tiktok.com/57abe6236b0dff6fa931f3b990c7ddc2/61d4ff4e/video/tos/useast2a/tos-useast2a-ve-0068c002/dad71543457c41629449d18be484fd83/?a=1988&br=1814&bt=907&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201042015160102230850192645848A&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajhqZDw6Zmx3OTMzNzczM0ApZmZkMzdmMzs7NzdmaDw4OWcxY2JucjQwY2FgLS1kMTZzc18uY2BjYDZfMy8wYTIuYWI6Yw%3D%3D&vl=&vr=', 'mayadelilahh': 'https://v16-webapp.tiktok.com/de6cbc4180787320f82d27584de9670b/61d4ff47/video/tos/useast2a/tos-useast2a-ve-0068c003/e3b9a59b386d44f69395035f1d1e8bad/?a=1988&br=3258&bt=1629&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201042015160102230850192645848A&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzVtdmc6Zm5pODMzNzczM0ApNzpnZmQ3aTw5NzQ7NTxmOWdgMWlfcjRfZGNgLS1kMTZzczExYi0yLmAtX2E2YzUtYy46Yw%3D%3D&vl=&vr=', 'jeremyzucker': 'https://v16-webapp.tiktok.com/b7b20ed2eb5d4debd862f82431fff8f7/61d4ff46/video/tos/useast2a/tos-useast2a-ve-0068c001/71d7cdfd0578474ea6e2e3c48d3b2bec/?a=1988&br=1296&bt=648&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201042015160102230850192645848A&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=am87Ozk6ZnRmODMzNzczM0ApZGhpaDY6NWU8N2RmZTs0ZWdlXmc0cjRfXi9gLS1kMTZzczNfYTU1NjRfMC0uYjEzNi06Yw%3D%3D&vl=&vr=', 'parthenop': 'https://v16-webapp.tiktok.com/5b937aa8f1a2b3292aaec6db294d3688/61d4ff3e/video/tos/useast2a/tos-useast2a-pve-0068/68a193512f9c45bea2ef31722c605b01/?a=1988&br=3066&bt=1533&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201042015160102230850192645848A&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajU0bTQ6ZmlqNzMzNzczM0ApOTc8NWZmaGRkN2hkOGZmOmdtXmFscjRfbS5gLS1kMTZzc2BjMzMxNTQvMzAuM2FiYV86Yw%3D%3D&vl=&vr='}","['beats', 'jam', 'loop', 'groove', 'cover', 'vibes', 'beat', 'guitar', 'drill', 'ukdrill', 'fun', 'fire', 'looping', 'drums', 'bass', 'neosoul', 'jams', 'producer', 'beatmaker', 'yup', 'loops', 'piano', 'jazzy', 'chill', 'jeremyzucker', 'song', 'the1975', 'music', 'fyp', 'guitarsolo', 'solo', 'dnb', 'jazz', 'singer', 'cute', 'acoustic', 'ableton', 'groovy', 'fypシ', 'livestream', 'lofibeat', 'ukgarage', 'chords', 'flute', 'lofibeats', 'macayres', 'wahpedal']","['guitar', 'bass', 'piano', 'drums', 'chords', 'flute']","['jazz', 'groove', 'neosoul']"
themaxpope,Max Pope,Singing songs 🌝🌚,False,79,6,343,49,2022-01-03,[],[],[],[],{},{},"['kissmemore', 'looppedal', 'loop', 'guitar', 'melodies', 'stillbill', 'asongaday', 'ripbillwithers', 'beinginlove', 'umo', 'reminiscing', 'cover', 'lovegrows', 'beatles', 'areyounewhere', 'fyp', 'getback', 'acousticcover', 'areyouknewhere', 'dreams', 'acoustic', 'cowboy', 'neilyoung', 'coldplay', 'purple', '70s', 'ace', 'title', 'christmascover', 'newmusic', 'chill', 'rework']",['guitar'],[]
parthenop,parthenope,more on my instagram🖤  @parthenope.music,False,4562,73,33200,27,2021-11-28,"['conor_albert', 'pastelmusiq']",[],"['conor_albert', 'pastelmusiq']",['conor_albert'],{'conor_albert': 'https://v16-webapp.tiktok.com/f991a2d75f343db57525ffd3e890c817/61d4ff8e/video/tos/useast2a/tos-useast2a-pve-0068/d4bbfda61f2b4a0385aa8136b4e23b08/?a=1988&br=1634&bt=817&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201042016320102230761321445C34F&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M213ZGQ6Zjt3OTMzNzczM0ApaWk1NTY3NmQ0NzM7OGdkZWdqaGM2cjRvZjBgLS1kMTZzc2BiMDJeYjQyMjUvYDVfLjI6Yw%3D%3D&vl=&vr='},"{'conor_albert': 'https://v16-webapp.tiktok.com/f991a2d75f343db57525ffd3e890c817/61d4ff8e/video/tos/useast2a/tos-useast2a-pve-0068/d4bbfda61f2b4a0385aa8136b4e23b08/?a=1988&br=1634&bt=817&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201042016320102230761321445C34F&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M213ZGQ6Zjt3OTMzNzczM0ApaWk1NTY3NmQ0NzM7OGdkZWdqaGM2cjRvZjBgLS1kMTZzc2BiMDJeYjQyMjUvYDVfLjI6Yw%3D%3D&vl=&vr=', 'pastelmusiq': 'https://v16-webapp.tiktok.com/42cf5363010820bc62eaf12ae7c79281/61d4ff95/video/tos/useast2a/tos-useast2a-pve-0068/1df3c585c28841998360856bee1157a2/?a=1988&br=1192&bt=596&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201042016320102230761321445C34F&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajU7ajY6Zjc5NjMzNzczM0ApOmQ8OTloNjw5N2g3ZWQ5M2dqMWs2cjRnYWxgLS1kMTZzc2AxNWIuMy40YmEyX2I1LTE6Yw%3D%3D&vl=&vr='}","['music', 'singer', 'songwriter', 'guitar', 'chill', 'producer', 'vibes', 'fyp', 'beat', 'jazz', 'beats', 'musician', 'nickdrake', 'violin', 'song', 'sing', 'flute', 'moonchild', 'vibe', 'rnb', 'duet', 'drums', 'keys', 'london', 'kitten', 'thebeatles', 'jazzflute', 'foryou', 'sax', 'jazzsax', 'duo', 'sun', 'uk', 'jazzguitar', 'saxophone', 'piano', 'jazzpiano', 'mayayres', 'swing', 'fyo', 'groovy', 'cliff', 'latin', 'bass', 'doublebass', 'singing', 'great', 'groove', 'tommisch', 'yussefdayes', 'loop', 'loops', 'lofi', 'lofibeats', 'neosoul']","['guitar', 'bass', 'piano', 'drums', 'saxophone', 'violin', 'flute']","['jazz', 'rnb', 'groove', 'neosoul', 'lofi']"
